web_scraper_order,web_scraper_start_url,container_list,number_of_rooms,number_of_bathrooms,surface_area,address
"1765157090-233","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-dakar-2909869","4","","","Dakar, Sénégal"
"1765157092-234","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-ngaparou-2909937","600 m2","","","Mbour, Sénégal"
"1765157095-235","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-parcelles-assainies-u20-2910255","150","","","Parcelle Assainies, Dakar, Sénégal"
"1765157098-236","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-sicap-liberte-5-2910382","2","102","","Sicap Liberté, Dakar, Sénégal"
"1765157101-237","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-sicap-liberte-6-2910386","2","103","","Sicap Liberté, Dakar, Sénégal"
"1765157126-238","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-liberte-2911063","4","4","300","Sicap Liberté, Dakar, Sénégal"
"1765157152-239","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-keur-massar-2911154","14","6","150 m2","Keur Massar, Sénégal"
"1765157155-240","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-dakar-2911790","6","5","280","Dakar, Sénégal"
"1765157157-241","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-dakar-cite-djily-mbaye-2911820","5","4","247","Dakar, Sénégal"
"1765157160-242","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/location-villa-r2-7-pieces-cite-mbakiyou-faye-2911832","5","5","","Dakar, Sénégal"
"1765157162-243","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-bambilor-2912368","2","1","200","Rufisque, Sénégal"
"1765157165-244","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/location-villas-12-pieces-kolda-2912623","12","8","90","Kolda, Sénégal"
"1765157167-245","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/recherche-villa-mermoz-2913029","","","","Medina, Dakar, Sénégal"
"1765157170-246","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-ndayane-2913152","3","3","500 m2","Toubab Dialao, Sénégal"
"1765157173-247","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-yeumbeul-2913407","7","2","300 m2","Dakar, Sénégal"
"1765157175-248","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-rufisque-2913517","8","4","900","Rufisque, Sénégal"
"1765157177-249","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-rufisque-2913537","8","150","","Rufisque, Sénégal"
"1765157180-250","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/vente-villa-mbao-2913551","10","4","150","Pikine, Sénégal"
"1765157184-251","https://sn.coinafrique.com/categorie/villas?page=98","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-almadies-2913563","6","5","600","Almadies, Dakar, Sénégal"
"1765157235-252","https://sn.coinafrique.com/categorie/villas?page=97","https://sn.coinafrique.com/annonce/villas/vente-villas-hann-bel-air-2914462","","","","Hann Bel-Air, Dakar, Sénégal"
"1765157239-253","https://sn.coinafrique.com/categorie/villas?page=97","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-rufisque-2915383","8","6","170","Rufisque, Sénégal"
"1765157265-254","https://sn.coinafrique.com/categorie/villas?page=97","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-mbao-2915611","","","","Grand Yoff, Dakar, Sénégal"
