web_scraper_order,web_scraper_start_url,containers_links,number_of_rooms,number_of_bathrooms,surface area,address
"1765216127-1","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mermoz-sacre-cur-4058141","4","4","198","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216130-2","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-sacre-cur-4058803","4","4","","Sacré-Coeur, Dakar, Sénégal"
"1765216132-3","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-5-pieces-dakar-plateau-4059628","5","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216135-4","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-4063415","4","","","Point E, Dakar, Sénégal"
"1765216137-5","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mamelles-4064471","3","3","","Mamelles, Dakar, Sénégal"
"1765216140-6","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-studio-yoff-virage-cite-biagui-4066786","1","1","","Yoff, Dakar, Sénégal"
"1765216142-7","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-amitie-1-4066895","3","3","","Dakar, Sénégal"
"1765216144-8","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-dakar-plateau-4068185","3","2","21","Dakar Plateau, Dakar, Sénégal"
"1765216147-9","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-mermoz-4068836","3","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216149-10","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-studio-point-e-4066892","2","2","65 m2","Point E, Dakar, Sénégal"
"1765216152-11","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-dakar-plateau-4069537","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216154-12","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-dakar-plateau-4069726","3","2","12","Dakar Plateau, Dakar, Sénégal"
"1765216160-13","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-virage-yoff-4070926","4","4","","Yoff, Dakar, Sénégal"
"1765216162-14","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-bourguiba-4070992","3","2","","Point E, Dakar, Sénégal"
"1765216165-15","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-almadies-4068288","2","2","75","Almadies, Dakar, Sénégal"
"1765216167-16","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-duplex-8-pieces-cite-isra-4072336","8","6","","Hann Bel-Air, Dakar, Sénégal"
"1765216170-17","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4069324","4","5","210","Almadies, Dakar, Sénégal"
"1765216172-18","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-keur-gorgui-4073034","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216174-19","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-dakar-plateau-4073137","3","1","","Dakar Plateau, Dakar, Sénégal"
"1765216177-20","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-4073888","2","1","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216179-21","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4074827","5","4","12","Almadies, Dakar, Sénégal"
"1765216182-22","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4075863","5","4","12","Almadies, Dakar, Sénégal"
"1765216184-23","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-4076064","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216187-24","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4078047","4","5","12","Almadies, Dakar, Sénégal"
"1765216189-25","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-mermoz-sacre-coeur-4078200","1","1","12","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216191-26","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sacre-cur-4081371","3","2","","Sacré-Coeur, Dakar, Sénégal"
"1765216194-27","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-studio-sacre-cur-4081369","2","2","","Sacré-Coeur, Dakar, Sénégal"
"1765216196-28","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-ouest-foire-4081437","5","3","","Ouest Foire, Dakar, Sénégal"
"1765216199-29","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-ouest-foire-4081485","4","2","","Ouest Foire, Dakar, Sénégal"
"1765216201-30","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4082083","5","5","12","Almadies, Dakar, Sénégal"
"1765216204-31","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-baobab-4082398","2","2","","Dakar, Sénégal"
"1765216206-32","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yoff-layenne-4082663","","","","Yoff, Dakar, Sénégal"
"1765216209-33","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-studio-2-pieces-mamelle-corniche-4083925","2","2","","Mamelles, Dakar, Sénégal"
"1765216211-34","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/appartement-f3-a-louer-a-yoff-4086303","3","2","","Yoff, Dakar, Sénégal"
"1765216217-35","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sacre-coeur-4088401","4","4","","Sacré-Coeur, Dakar, Sénégal"
"1765216219-36","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-mermoz-4088409","4","4","225 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216222-37","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4088554","4","3","12","Almadies, Dakar, Sénégal"
"1765216224-38","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4089166","5","5","12","Almadies, Dakar, Sénégal"
"1765216226-39","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-yoff-diamalaye-4090993","3","2","","Yoff, Dakar, Sénégal"
"1765216229-40","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-ouest-foire-4088780","2","2","55","Ouest Foire, Dakar, Sénégal"
"1765216231-41","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4090009","4","4","210","Almadies, Dakar, Sénégal"
"1765216234-42","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-f-4-point-e-4092494","4","3","","Point E, Dakar, Sénégal"
"1765216236-43","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-point-e-4092500","4","3","","Point E, Dakar, Sénégal"
"1765216239-44","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4093306","4","3","12","Almadies, Dakar, Sénégal"
"1765216242-45","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4093309","5","5","12","Almadies, Dakar, Sénégal"
"1765216245-46","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mamelles-4091283","3","3","98","Mamelles, Dakar, Sénégal"
"1765216247-47","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-4094577","4","3","","Ngor, Dakar, Sénégal"
"1765216250-48","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelle-mackiyou-faye-4094641","4","4","200 m2","Ngor, Dakar, Sénégal"
"1765216252-49","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-studio-dakar-plateau-4095062","2","","","Dakar Plateau, Dakar, Sénégal"
"1765216254-50","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-4096957","4","4","200 m2","Dakar Plateau, Dakar, Sénégal"
"1765216257-51","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-6-pieces-virage-yoff-4097249","6","3","","Yoff, Dakar, Sénégal"
"1765216259-52","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/vente-appartement-4-pieces-point-e-4097733","4","3","","Point E, Dakar, Sénégal"
"1765216262-53","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/vente-appartement-f5-dakar-centre-ville-cite-addoha-4098574","5","4","","Dakar Plateau, Dakar, Sénégal"
"1765216264-54","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4096481","3","3","150","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216266-55","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-mamelles-4096500","3","2","125","Mamelles, Dakar, Sénégal"
"1765216269-56","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mamelles-4100137","4","5","12","Mamelles, Dakar, Sénégal"
"1765216271-57","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartements-5-pieces-yoff-4097920","5","3","180","Yoff, Dakar, Sénégal"
"1765216274-58","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/vente-appartement-3-pieces-cite-mixta-4101498","3","2","","Damel, Dakar, Sénégal"
"1765216276-59","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-cite-biagui-yoff-4099404","5","4","180 m2","Yoff, Dakar, Sénégal"
"1765216279-60","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zone-de-captage-4102662","4","3","","Mariste, Dakar, Sénégal"
"1765216281-61","https://sn.coinafrique.com/categorie/appartements?page=98","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-4103437","4","3","12","Dakar Plateau, Dakar, Sénégal"
"1765216287-62","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-amitie-4104421","4","4","","Point E, Dakar, Sénégal"
"1765216290-63","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-4105294","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216292-64","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4105874","4","2","140","Almadies, Dakar, Sénégal"
"1765216295-65","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-mermoz-sacre-coeur-4105970","2","2","75","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216297-66","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-yoff-4103735","5","4","150","Yoff, Dakar, Sénégal"
"1765216299-67","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4103752","4","4","250","Almadies, Dakar, Sénégal"
"1765216302-68","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-4107260","3","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216304-69","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/vente-appartement-fass-4107480","3","2","","Fass, Dakar, Sénégal"
"1765216307-70","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-sacre-cur-3-4110290","3","2","","Sacré-Coeur, Dakar, Sénégal"
"1765216309-71","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-haut-standing-mamelles-4110310","4","5","","Mamelles, Dakar, Sénégal"
"1765216311-72","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-yoff-4108129","4","4","180","Yoff, Dakar, Sénégal"
"1765216314-73","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4111180","5","5","12","Almadies, Dakar, Sénégal"
"1765216316-74","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartements-04-pieces-almadies-4109572","4","5","210","Almadies, Dakar, Sénégal"
"1765216319-75","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/vente-appartement-5-pieces-point-e-4114318","5","5","237","Point E, Dakar, Sénégal"
"1765216321-76","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-centre-ville-4114625","4","3","","Dakar Plateau, Dakar, Sénégal"
"1765216324-77","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-yoff-4111302","5","4","180","Yoff, Dakar, Sénégal"
"1765216326-78","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-ngor-almadie-4117167","3","2","","Ngor, Dakar, Sénégal"
"1765216329-79","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zone-b-4117988","","","","Point E, Dakar, Sénégal"
"1765216331-80","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartements-02-pieces-mermoz-sacre-coeur-4113625","2","2","55","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216334-81","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-cite-keur-gorgui-4119842","4","3","","Dakar, Sénégal"
"1765216336-82","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-fann-residence-4120174","4","4","250 m2","Fann, Dakar, Sénégal"
"1765216339-83","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-4120211","4","4","160 m2","Point E, Dakar, Sénégal"
"1765216341-84","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-4120223","4","4","","Point E, Dakar, Sénégal"
"1765216343-85","https://sn.coinafrique.com/categorie/appartements?page=97","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-5-pieces-mamelles-corniche-4120235","4","4","250 m2","Mamelles, Dakar, Sénégal"
"1765216349-86","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-4120933","4","4","12","Almadies, Dakar, Sénégal"
"1765216351-87","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartements-ouest-foire-4118910","50","","","Ouest Foire, Dakar, Sénégal"
"1765216354-88","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartements-04-pieces-almadies-4117526","4","2","130","Almadies, Dakar, Sénégal"
"1765216356-89","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartement-yoff-cite-biagui-4122840","3","2","","Yoff, Dakar, Sénégal"
"1765216358-90","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-studio-point-e-4123007","2","2","","Point E, Dakar, Sénégal"
"1765216361-91","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartement-ngor-virage-4124699","4","4","250 m2","Ngor, Dakar, Sénégal"
"1765216363-92","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartements-04-pieces-mamelles-4123128","4","3","140","Mamelles, Dakar, Sénégal"
"1765216366-93","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-zone-b-4127872","3","3","","Point E, Dakar, Sénégal"
"1765216368-94","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/vente-appartement-f3-cite-keur-gorgui-4131623","3","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216371-95","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-4132512","3","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216373-96","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-point-e-4137461","4","4","","Point E, Dakar, Sénégal"
"1765216375-97","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartement-duplex-7-pieces-cite-isra-4138464","8","7","250 m2","Hann Bel-Air, Dakar, Sénégal"
"1765216378-98","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/locatio-appartement-4-pieces-mermoz-4139758","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216380-99","https://sn.coinafrique.com/categorie/appartements?page=96","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-ouakam-4136274","2","2","75","Ouakam, Dakar, Sénégal"
"1765216386-100","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-studio-yoff-biagui-4140720","2","2","","Yoff, Dakar, Sénégal"
"1765216388-101","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cite-keur-gorgui-4146066","4","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216391-102","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4146104","5","5","12","Almadies, Dakar, Sénégal"
"1765216393-103","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-appartement-almadie-4152919","4","4","250 m2","Almadies, Dakar, Sénégal"
"1765216395-104","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-4153759","3","2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216398-105","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/vente-studio-ngor-4157125","2","2","","Ngor, Dakar, Sénégal"
"1765216400-106","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zone-b-4156669","4","4","140 m2","Point E, Dakar, Sénégal"
"1765216406-107","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-appartements-03-pieces-mamelles-4157140","3","2","98","Mamelles, Dakar, Sénégal"
"1765216408-108","https://sn.coinafrique.com/categorie/appartements?page=95","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4160877","4","3","","Almadies, Dakar, Sénégal"
"1765216414-109","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-almadies-4161059","5","4","","Almadies, Dakar, Sénégal"
"1765216416-110","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4161772","4","4","","Mamelles, Dakar, Sénégal"
"1765216419-111","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/vente-appartement-point-e-4163284","4","4","170 m2","Point E, Dakar, Sénégal"
"1765216421-112","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartements-03-pieces-mamelles-4159671","3","2","110","Mamelles, Dakar, Sénégal"
"1765216424-113","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-dakar-plateau-4167017","2","1","12","Dakar Plateau, Dakar, Sénégal"
"1765216427-114","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dakar-plateau-4167241","5","5","12","Dakar Plateau, Dakar, Sénégal"
"1765216429-115","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-dakar-plateau-4167824","4","3","","Dakar Plateau, Dakar, Sénégal"
"1765216431-116","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-mamelles-4167873","3","2","","Mamelles, Dakar, Sénégal"
"1765216434-117","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zone-b-4167283","4","4","150","Point E, Dakar, Sénégal"
"1765216436-118","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-dakar-plateau-4171177","2","1","21","Dakar Plateau, Dakar, Sénégal"
"1765216439-119","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-4171382","4","3","","Ngor, Dakar, Sénégal"
"1765216441-120","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-4171048","3","2","","Diamniadio, Sénégal"
"1765216444-121","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dakar-plateau-4172334","5","5","12","Dakar Plateau, Dakar, Sénégal"
"1765216446-122","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-residence-cristal-4173271","4","4","","Dakar Plateau, Dakar, Sénégal"
"1765216449-123","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartements-5-pieces-dakar-plateau-4174458","5","5","12","Dakar Plateau, Dakar, Sénégal"
"1765216451-124","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-dakar-plateau-4174450","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216453-125","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-ouakam-4210633","3","1","80","Ouakam, Dakar, Sénégal"
"1765216456-126","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-villa-duplex-meuble-point-e-4176076","6","5","250 m2","Point E, Dakar, Sénégal"
"1765216458-127","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-fann-residence-4176080","4","250","","Fann, Dakar, Sénégal"
"1765216461-128","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-studio-point-e-4176081","2","2","","Point E, Dakar, Sénégal"
"1765216463-129","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-ngor-4174355","3","2","","Ngor, Dakar, Sénégal"
"1765216466-130","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-dakar-plateau-4176879","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216468-131","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dakar-plateau-4176882","5","5","12","Dakar Plateau, Dakar, Sénégal"
"1765216471-132","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-medina-4173903","2","1","55","Medina, Dakar, Sénégal"
"1765216473-133","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-amitie-2-4178683","3","2","","Point E, Dakar, Sénégal"
"1765216475-134","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mermoz-sacre-coeur-4176608","3","3","80","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216478-135","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-liberte-4180189","4","3","12","Sicap Liberté, Dakar, Sénégal"
"1765216481-136","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-2-pieces-dakar-plateau-4180199","2","1","12","Dakar Plateau, Dakar, Sénégal"
"1765216484-137","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-dakar-plateau-4180207","5","5","12","Dakar Plateau, Dakar, Sénégal"
"1765216486-138","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-point-e-4180566","4","4","200 m2","Point E, Dakar, Sénégal"
"1765216489-139","https://sn.coinafrique.com/categorie/appartements?page=94","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-liberte-4181675","4","3","12","Sicap Liberté, Dakar, Sénégal"
